source,author,title,url,publishedAt,content
Newsbreak.com,Sarah Ferris,"Republicans scramble for health care plan, as Democrats eye midterm battle - NewsBreak",https://www.newsbreak.com/share/4348024881630-republicans-scramble-for-health-care-plan-as-democrats-eye-midterm-battle?s=a2&amp;share_destination_id=MTkwNTk5MjIwLTE3NjMxNjYyODk5Njk%3D&amp;pd=0CtjYyMv&amp;hl=en_US&amp;send_time=1763166289&amp;actBtn=bottomBar&amp;_f=app_share&amp;trans_data=%7B%22platform%22%3A1%2C%22cv%22%3A%2225.45.1%22%2C%22languages%22%3A%22en%22%7D,2025-11-15T00:26:00Z,"Zohran Mamdani Says No More Thanking Veterans Today, Forgetting Tomorrow Trump, Obama And Others Express Gratitude For Service
As the nation marked Veterans Day 2025 on Tuesday , Nov. 11, political … [+1160 chars]"
esquire.com,Charles P. Pierce,All Hell Is About to Break Loose in Congress,https://www.esquire.com/news-politics/politics/a69442435/congress-epstein-jack-smith/,2025-11-15T00:26:00Z,"(Permanent Musical Accompaniment to the Last Post of the Week fromand a happy 80th tothe Blogs Favourite Living Canadian)
It looks like the Republicans in the Senateexcept for Lindsey Graham, who ha… [+10793 chars]"
Pypi.org,sdk@auth-agent.com,auth-agent-sdk 2.2.0,https://pypi.org/project/auth-agent-sdk/2.2.0/,2025-11-15T00:25:25Z,"A required part of this site couldnt load. This may be due to a browser
 extension, network issues, or browser settings. Please check your
 connection, disable any ad blockers, or try using a diffe… [+12 chars]"
CBS News,CBS News,Dad seeks justice after students allegedly shared nude deepfake of his daughter,https://www.cbsnews.com/video/dad-seeks-justice-after-students-allegedly-shared-nude-deepfake-of-his-daughter/,2025-11-15T00:25:00Z,Copyright ©2025 CBS Interactive Inc. All rights reserved.
Biztoc.com,bloomberg.com,"China’s AI Bets Pivot to Power, Metals as Tech Bubble Fears Grow",https://biztoc.com/x/7a173d85829bae30,2025-11-15T00:22:08Z,"{ window.open(this.href, '_blank'); }, 200); return false;""&gt;Why did Trump cut tariffs on food imports? { window.open(this.href, '_blank'); }, 200); return false;""&gt;How did Berkshire's Alphabet s… [+729 chars]"
Biztoc.com,bloomberg.com,Santander’s Botin Touts ‘Friendly Deals’ as Key to Banking M&A,https://biztoc.com/x/db5edfec228c9ea4,2025-11-15T00:22:03Z,"{ window.open(this.href, '_blank'); }, 200); return false;""&gt;Why did Trump cut tariffs on food imports? { window.open(this.href, '_blank'); }, 200); return false;""&gt;How did Berkshire's Alphabet s… [+719 chars]"
Yahoo Entertainment,Christine Dulion,Bystander captures instant karma moment after two men taunt wild moose in Montana: 'In my state that is 100% illegal',https://www.yahoo.com/news/articles/bystander-captures-instant-karma-moment-002000528.html,2025-11-15T00:20:00Z,"A YouTube clip from Montana has left viewers shaking their heads (and, let's face it, internally cheering a little) after two men learned the hard way that taunting wildlife isn't a good idea.
The s… [+2217 chars]"
Financial Post,Bloomberg News,"China’s AI Bets Pivot to Power, Metals as Tech Bubble Fears Grow",https://financialpost.com/pmn/business-pmn/chinas-ai-bets-pivot-to-power-metals-as-tech-bubble-fears-grow,2025-11-15T00:19:24Z,(Bloomberg) Chinese investors hunting for the next artificial intelligence winners are looking beyond high-flying chipmakers to the utilities and metal producers that form the industrys physical back… [+4999 chars]
Pypi.org,"samuel@pydantic.dev, marcelotryle@gmail.com, david@pydantic.dev, alex@pydantic.dev, douwe@pydantic.dev",pydantic-ai-slim 1.18.0,https://pypi.org/project/pydantic-ai-slim/1.18.0/,2025-11-15T00:16:49Z,"A required part of this site couldnt load. This may be due to a browser
 extension, network issues, or browser settings. Please check your
 connection, disable any ad blockers, or try using a diffe… [+12 chars]"
Pypi.org,"samuel@pydantic.dev, marcelotryle@gmail.com, david@pydantic.dev, alex@pydantic.dev, douwe@pydantic.dev",pydantic-ai-examples 1.18.0,https://pypi.org/project/pydantic-ai-examples/1.18.0/,2025-11-15T00:16:47Z,"A required part of this site couldnt load. This may be due to a browser
 extension, network issues, or browser settings. Please check your
 connection, disable any ad blockers, or try using a diffe… [+12 chars]"
Pypi.org,"samuel@pydantic.dev, marcelotryle@gmail.com, david@pydantic.dev, alex@pydantic.dev, douwe@pydantic.dev",pydantic-ai 1.18.0,https://pypi.org/project/pydantic-ai/1.18.0/,2025-11-15T00:16:46Z,"A required part of this site couldnt load. This may be due to a browser
 extension, network issues, or browser settings. Please check your
 connection, disable any ad blockers, or try using a diffe… [+12 chars]"
Pypi.org,"samuel@pydantic.dev, marcelotryle@gmail.com, david@pydantic.dev, alex@pydantic.dev, douwe@pydantic.dev",clai 1.18.0,https://pypi.org/project/clai/1.18.0/,2025-11-15T00:16:45Z,"A required part of this site couldnt load. This may be due to a browser
 extension, network issues, or browser settings. Please check your
 connection, disable any ad blockers, or try using a diffe… [+12 chars]"
CBS News,CBS News,"AI-generated ""Walk My Walk"" by ""Breaking Rust"" tops charts",https://www.cbsnews.com/video/ai-generated-walk-my-walk-breaking-rust-tops-charts/,2025-11-15T00:16:00Z,Copyright ©2025 CBS Interactive Inc. All rights reserved.
IGN,Scott Collura,"Pluribus Episode 3 Review - ‘Sorry if We Got That Wrong, Carol’",https://www.ign.com/articles/pluribus-episode-3-review-recap-grenade-vince-gilligan-rhea-seehorn-apple-tv-sorry-if-we-got-that-wrong-carol,2025-11-15T00:15:06Z,"Full spoilers follow for Pluribus
 Episode 3, Grenade, which is available now on Apple TV.
Last week in my season premiere review of Pluribus
, I wondered if wed get some flashbacks to the before … [+6507 chars]"
Pypi.org,,ai-edge-quantizer-nightly 0.5.0.dev20251115,https://pypi.org/project/ai-edge-quantizer-nightly/0.5.0.dev20251115/,2025-11-15T00:13:10Z,"A required part of this site couldnt load. This may be due to a browser
 extension, network issues, or browser settings. Please check your
 connection, disable any ad blockers, or try using a diffe… [+12 chars]"
NASA,scarney1,"6 Things to Know From NASA About New US, European Sea Satellite",https://www.nasa.gov/missions/jason-cs-sentinel-6/sentinel-6b/6-things-to-know-from-nasa-about-new-us-european-sea-satellite/,2025-11-15T00:13:01Z,"Data from Sentinel-6B will continue a decades-long record of sea surface height, helping to improve coastal planning, protect critical infrastructure, and advance weather forecasts.
With launch set … [+7178 chars]"
7NEWS.com.au,Digital Staff,Trump makes stunning tariff backflip on Australian beef exports,https://7news.com.au/news/trump-drops-tariffs-on-range-of-commodities-including-beef-as-pressure-builds-on-consumer-prices-c-20684560,2025-11-15T00:12:47Z,"US President Donald Trump has removed tariffs on one of Australias biggest exports to the US.
The US president revealed on Saturday morning Australian time he would lift reciprocal tariffs on a broa… [+3332 chars]"
Paidclinicaltrial.com,Admin,From Manual Outreach to Smart Funnels: Marketing Automation Transforming Clinical Trial Recruitment,https://paidclinicaltrial.com/blog/from-manual-outreach-to-smart-funnels-marketing-automation-transforming-clinical-trial-recruitment/,2025-11-15T00:11:22Z,"Clinical trial recruitment used to mean long days of manual outreach, endless spreadsheets, and hoping the right patients saw the right flyer at the right time. Today, marketing automation is quietly… [+10296 chars]"
Biztoc.com,bloomberg.com,"Warburg, Permira Are Said in Talks to Buy Clearwater Analytics",https://biztoc.com/x/92a54887472cbab8,2025-11-15T00:11:05Z,"{ window.open(this.href, '_blank'); }, 200); return false;""&gt;Why did Trump cut tariffs on food imports? { window.open(this.href, '_blank'); }, 200); return false;""&gt;How did Berkshire's Alphabet s… [+727 chars]"
Snopes.com,Rae Deng,Government funding bill cuts food safety regulations. See the provisions for yourself,https://www.snopes.com//fact-check/government-shutdown-food-safety-cuts/,2025-11-15T00:11:00Z,"Claim:
In November 2025, the U.S. Senate cut food safety regulations in a funding bill to reopen the government.
After lawmakers passed a bill to fund the U.S. government on Nov. 12, 2025, ending a… [+6576 chars]"
Biztoc.com,fnlondon.com,"Tributes paid to Mark Corbidge, the Yorkshire dealmaker who charmed Europe’s boardrooms",https://biztoc.com/x/1eca690041eeefc2,2025-11-15T00:10:56Z,"{ window.open(this.href, '_blank'); }, 200); return false;""&gt;Why did Trump cut tariffs on food imports? { window.open(this.href, '_blank'); }, 200); return false;""&gt;How did Berkshire's Alphabet s… [+735 chars]"
