gender,race,first_gen,income_quintile,in_state,legacy,gpa,sat_total,ap_courses,rec_score,interview_score,ecs_hours_per_week,intended_major,admit
M,Hispanic,1,4,1,0,3.45,920,0,3.4,3.87,5.3,Economics,1
F,White,0,1,1,0,3.04,1177,3,2.76,2.99,8.2,Biology,0
M,AAPI,0,1,1,0,4.0,849,4,3.33,4.05,5.7,Biology,0
F,White,0,3,0,0,3.18,982,3,4.37,3.08,10.4,Engineering,0
M,White,0,5,1,0,3.54,1107,5,3.58,1.67,3.0,Undeclared,0
F,Hispanic,1,5,0,0,3.23,1187,5,3.22,2.36,6.5,Biology,1
F,White,1,3,0,0,3.36,1093,4,3.21,3.09,5.0,CS,0
M,White,1,2,1,0,3.73,1209,2,3.04,3.09,0.2,Humanities,1
M,AAPI,0,3,0,0,3.39,1135,4,3.63,2.53,6.4,Undeclared,1
M,White,1,3,1,0,3.25,1275,3,2.84,2.36,4.8,Engineering,0
M,White,0,4,1,0,3.1,1273,3,3.64,2.61,1.8,Humanities,0
M,Black,1,2,0,0,3.62,938,0,3.54,2.78,3.0,Undeclared,1
M,White,1,2,0,0,3.15,977,3,3.41,2.86,8.4,CS,1
M,White,0,3,0,0,3.28,1361,6,2.65,2.12,8.3,Humanities,1
F,White,1,5,0,0,2.62,1377,5,3.41,3.4,5.5,Biology,0
F,Black,0,5,0,0,3.47,1355,4,3.18,3.39,5.7,Humanities,0
F,White,0,4,0,0,3.29,1329,7,3.36,3.01,9.0,Engineering,0
M,White,0,2,0,0,2.63,1170,5,2.8,2.35,0.3,Engineering,1
F,AAPI,1,3,1,0,3.68,1187,8,4.05,3.54,7.2,Economics,0
F,AAPI,0,3,0,0,3.16,1157,9,3.41,4.06,1.4,Engineering,0
M,Other,0,5,0,0,4.0,1478,5,2.53,2.84,11.7,Economics,0
F,White,1,2,0,0,3.7,1005,1,2.4,2.4,6.5,CS,1
F,White,0,5,0,0,3.26,1274,4,4.22,3.57,3.0,Humanities,1
M,White,1,4,0,0,3.84,921,6,3.29,2.16,5.5,Engineering,1
M,AAPI,0,4,0,0,3.99,995,7,3.17,2.08,7.6,Humanities,1
F,White,0,4,1,0,3.28,1474,3,4.08,2.58,1.8,CS,1
F,AAPI,1,4,1,1,3.05,1271,5,3.46,3.35,6.4,Humanities,0
F,White,0,4,0,0,2.68,1165,3,2.68,2.4,8.0,CS,1
M,Hispanic,1,4,0,0,3.49,1171,4,2.72,3.08,1.3,CS,0
M,Hispanic,0,2,1,0,2.98,940,3,3.58,1.29,7.1,Engineering,0
F,White,1,3,1,0,3.47,1080,5,4.52,3.49,5.4,Humanities,0
M,Other,0,3,0,0,3.15,946,8,3.8,4.15,8.3,CS,0
F,Other,1,5,1,0,3.22,1189,6,3.27,2.47,6.7,Humanities,1
F,White,0,4,1,0,3.28,1315,4,3.26,3.46,4.2,Engineering,1
M,White,0,5,1,0,3.11,1328,4,3.53,3.03,4.7,Undeclared,1
F,AAPI,0,4,1,0,3.28,1442,5,2.19,3.18,6.0,Engineering,1
F,White,0,3,1,1,3.14,1216,3,3.46,2.8,5.5,CS,0
F,White,0,3,1,0,3.4,828,5,3.65,2.76,8.7,Humanities,0
M,White,0,4,1,0,3.52,1493,0,4.46,2.43,6.1,Engineering,0
M,Hispanic,0,5,1,0,3.19,1147,5,4.15,2.33,3.7,Economics,0
M,White,1,2,1,0,3.64,1118,3,4.36,3.78,3.8,Humanities,1
F,Black,0,2,0,0,3.21,1119,1,4.21,1.56,1.4,Humanities,1
F,White,0,2,0,0,3.8,1139,3,4.04,2.89,6.1,Engineering,1
M,White,0,1,1,0,3.32,1092,5,3.12,2.75,5.8,Engineering,0
F,Hispanic,0,4,1,0,3.5,1229,7,3.61,3.06,8.7,Engineering,1
M,White,1,5,1,0,3.32,1045,4,2.5,3.73,6.5,Biology,1
M,White,1,4,0,0,3.58,1522,6,3.48,2.8,4.8,Humanities,1
F,White,0,1,1,0,3.25,1176,0,3.44,3.32,3.1,Economics,1
M,Black,1,2,0,0,3.5,1077,3,3.03,4.49,4.7,Art,0
F,White,0,5,1,0,4.0,1523,6,2.58,3.08,6.3,Humanities,1
F,White,1,1,1,0,2.92,900,6,4.05,1.17,8.1,Economics,0
M,White,0,4,0,0,3.64,1317,7,3.64,2.99,5.9,Economics,1
F,White,0,3,1,0,3.6,1097,5,4.33,2.81,5.7,Biology,0
M,White,0,5,0,0,3.67,1296,3,3.95,3.52,5.7,Engineering,0
M,White,0,3,0,0,3.2,1209,7,4.12,1.4,4.2,CS,0
M,White,1,3,1,0,3.19,813,4,4.0,3.26,2.5,Engineering,0
M,White,0,4,0,0,3.23,995,5,2.99,2.76,4.2,Undeclared,1
F,AAPI,0,5,1,0,3.35,1487,5,3.19,3.84,12.3,Humanities,0
F,Black,0,3,1,1,3.11,1140,8,3.19,2.59,7.4,CS,0
M,White,1,4,0,0,3.32,1440,3,2.82,3.79,5.7,Engineering,0
M,White,1,5,1,0,3.22,1413,7,4.56,1.99,5.7,Humanities,1
F,White,1,3,1,0,3.48,1109,4,3.33,3.01,8.8,Economics,0
F,Hispanic,1,4,1,0,3.43,1142,6,3.68,2.32,4.4,CS,0
F,White,1,2,1,0,3.31,1326,7,2.4,2.51,0.6,Humanities,1
F,White,0,2,1,0,3.22,1424,0,3.69,5.0,6.4,Humanities,1
M,White,0,1,1,0,3.26,1045,3,2.85,2.04,2.1,Engineering,0
F,White,0,4,0,0,3.34,1410,3,4.16,2.8,3.6,Humanities,0
M,White,0,2,0,1,3.54,1249,4,2.94,1.99,2.5,Art,1
M,White,1,5,1,1,3.34,1398,7,4.45,2.95,8.3,Economics,1
M,AAPI,0,5,0,0,3.64,1254,4,4.06,3.08,7.3,Humanities,1
F,AAPI,0,5,1,0,3.1,1171,4,3.22,2.61,5.1,CS,0
F,AAPI,1,2,1,0,3.5,947,4,4.05,4.16,6.1,Economics,1
M,Black,0,4,0,0,3.23,1012,2,4.09,4.02,4.7,Humanities,0
M,White,0,4,1,1,3.16,1488,6,3.84,2.34,2.7,Biology,1
F,Hispanic,0,3,0,0,2.95,1152,2,2.7,3.65,2.7,Biology,0
M,Black,1,3,0,0,2.85,955,5,3.78,2.62,5.8,Economics,0
F,Black,0,3,1,0,3.23,1315,2,3.34,2.02,4.0,Humanities,1
M,Black,0,2,1,0,3.84,1063,3,3.23,2.33,5.5,Humanities,1
F,White,0,3,1,0,3.17,1084,3,3.34,2.0,8.8,Humanities,1
F,White,1,5,0,0,2.67,1495,5,3.48,3.95,5.7,Humanities,0
M,White,0,2,1,0,3.45,944,6,2.68,2.2,11.9,Undeclared,0
F,White,0,1,1,0,2.85,1118,5,2.19,3.83,5.1,Economics,0
F,White,1,1,1,0,3.46,967,2,2.07,2.91,3.7,Biology,0
F,White,1,3,0,0,3.13,1010,3,3.48,2.68,2.4,Engineering,0
F,White,0,2,1,0,3.22,925,5,1.75,2.5,4.3,CS,1
M,Hispanic,0,3,1,0,3.82,1183,2,3.74,4.4,5.4,Engineering,1
F,Black,0,5,1,1,3.78,1143,6,3.95,3.21,9.5,Engineering,1
M,AAPI,1,1,0,0,2.68,1108,2,2.92,2.4,2.6,Biology,0
M,White,0,1,1,0,2.86,1078,3,3.72,3.48,5.5,Undeclared,0
F,AAPI,1,2,1,0,2.63,1051,5,3.04,3.37,5.0,Humanities,1
F,Hispanic,1,3,1,0,4.0,1018,3,3.55,2.21,8.1,Art,1
M,AAPI,0,4,1,0,3.18,1420,7,2.23,3.1,9.4,Engineering,1
M,AAPI,0,1,0,0,3.6,1163,7,1.75,1.35,5.2,CS,0
M,White,1,1,1,0,2.98,955,4,2.96,2.77,6.0,CS,0
M,White,1,1,1,0,2.79,860,3,3.35,3.05,6.9,Biology,0
F,Black,1,5,1,0,3.5,966,8,4.07,3.56,8.6,CS,0
F,Other,0,1,1,0,3.13,1244,1,2.99,2.0,5.1,Engineering,0
M,White,1,4,1,0,3.69,1312,8,3.55,2.51,7.5,CS,1
F,White,1,3,0,0,3.57,1262,2,3.77,3.2,9.7,Humanities,1
M,White,1,1,1,1,2.96,1033,7,3.17,3.8,4.4,Undeclared,1
F,White,0,3,1,0,2.9,1288,3,3.65,3.07,7.8,CS,0
M,Other,0,2,0,0,2.85,1249,5,2.52,2.45,3.5,CS,0
F,Black,0,3,1,0,2.6,1165,1,2.31,3.78,9.8,Engineering,0
F,White,1,1,0,0,3.02,975,2,2.78,2.9,5.2,Economics,0
F,White,1,4,1,0,3.41,1048,3,3.86,3.24,5.6,Biology,0
F,White,0,4,1,0,3.08,1280,2,2.97,3.74,6.6,Engineering,0
M,White,0,1,1,1,2.8,1163,6,3.64,2.72,3.9,CS,0
F,White,0,3,1,0,3.39,1118,2,2.68,2.25,6.0,Biology,1
F,Hispanic,0,4,0,0,3.21,1155,3,3.05,2.98,7.3,CS,0
F,AAPI,1,1,1,0,3.1,1020,1,3.25,3.69,3.6,Economics,1
F,White,0,4,1,0,3.35,1331,7,3.0,4.61,2.8,Humanities,0
M,Black,0,3,0,0,3.44,958,6,3.0,2.03,10.4,Undeclared,0
F,Black,1,2,0,1,3.0,915,6,1.78,4.21,5.6,Engineering,1
M,White,0,3,1,0,3.23,1023,3,3.8,2.71,6.7,Humanities,0
F,AAPI,0,4,1,1,2.82,1199,8,3.48,3.12,6.7,Biology,1
M,AAPI,0,4,0,0,3.41,1239,3,2.83,4.46,9.1,Engineering,1
F,Hispanic,0,4,0,0,3.46,1045,3,4.5,2.77,6.9,CS,0
F,White,0,1,0,0,3.13,1187,1,2.63,2.58,3.6,Biology,1
M,White,1,4,1,0,4.0,1390,4,3.09,2.59,5.9,Art,1
M,White,0,1,1,0,3.3,1143,3,2.52,2.83,7.5,Undeclared,0
M,White,0,4,1,0,3.43,1377,3,4.06,3.35,7.3,Biology,1
F,White,0,2,1,0,3.49,1002,4,4.06,2.35,5.1,Humanities,1
F,Black,0,1,0,0,3.93,935,0,3.9,3.96,3.3,Engineering,1
M,White,0,4,1,0,3.57,1292,5,4.19,2.5,6.0,Humanities,1
F,White,0,3,1,0,2.62,1170,2,2.94,3.4,8.7,CS,0
M,Other,0,4,1,0,3.63,1095,4,4.4,3.12,4.5,Biology,0
M,White,1,2,1,0,2.94,1295,2,3.08,3.89,6.6,Humanities,1
M,White,0,2,1,0,2.65,1172,6,2.27,2.26,7.0,Biology,0
M,AAPI,1,4,1,0,4.0,1283,6,3.14,3.56,7.0,CS,1
M,White,0,2,0,0,3.79,1011,3,3.4,4.84,4.7,Undeclared,1
F,White,0,5,0,0,3.19,1475,4,3.11,2.05,3.9,Engineering,0
F,Black,0,4,1,0,3.17,1198,6,3.49,2.38,8.5,CS,0
M,White,0,5,1,0,3.62,1408,9,3.82,4.87,3.6,Biology,0
F,White,0,1,0,0,2.88,978,3,3.35,2.69,4.8,Humanities,1
F,White,1,3,1,0,3.28,1164,1,3.69,3.09,5.8,Biology,0
F,Hispanic,0,3,1,0,3.15,1253,3,3.19,2.73,7.9,Undeclared,1
M,White,0,5,1,0,3.42,1544,7,3.06,4.52,5.4,Engineering,1
M,Black,1,3,1,0,2.84,1078,3,2.42,1.71,3.3,Economics,0
M,White,0,5,0,0,3.8,1268,3,3.45,4.19,8.9,CS,0
F,AAPI,0,2,1,1,3.74,1213,2,3.03,1.72,4.8,CS,0
F,White,0,5,1,0,3.52,1067,6,3.43,1.95,2.6,Engineering,0
M,White,0,3,1,0,3.39,871,1,2.06,2.13,6.0,Engineering,0
F,White,1,5,1,0,3.71,1091,5,2.59,3.1,11.8,Humanities,1
M,Black,0,2,0,0,3.27,1240,4,3.51,2.33,6.6,Art,1
M,White,0,2,0,0,3.88,1345,3,2.22,2.28,2.2,Art,1
F,White,1,3,0,0,2.82,986,2,3.19,2.26,6.9,Economics,0
F,White,0,3,1,0,3.7,1005,6,2.8,2.27,8.5,Biology,1
F,White,0,1,1,1,3.2,1300,0,2.71,2.05,0.1,Engineering,0
M,AAPI,0,4,1,0,3.09,1141,5,3.45,3.29,6.1,Engineering,0
M,White,0,3,1,0,4.0,1123,6,3.32,2.49,9.2,Biology,0
F,White,0,1,0,1,4.0,1264,3,3.58,1.0,0.6,Economics,0
M,White,0,3,1,0,3.33,1356,7,2.64,2.97,5.3,Economics,1
F,White,0,4,1,0,3.64,1351,3,2.87,3.7,6.3,Humanities,1
F,White,1,1,0,0,2.96,785,1,3.77,2.58,3.1,CS,0
M,White,1,5,1,0,3.38,1054,5,3.37,2.19,10.7,CS,0
F,White,1,4,1,0,3.01,1342,11,3.62,3.7,9.6,Undeclared,0
F,Hispanic,0,2,1,0,2.87,1175,5,2.9,1.8,4.4,Engineering,0
M,White,1,4,0,0,4.0,1051,6,3.67,2.84,4.0,Undeclared,0
F,Hispanic,0,5,1,0,3.55,1217,7,2.01,3.18,10.8,Engineering,0
M,White,1,5,1,0,3.51,1386,6,4.19,4.06,9.2,CS,0
F,White,1,4,1,0,3.13,1399,7,3.13,3.56,6.5,Biology,1
F,White,0,2,0,0,3.34,1104,0,2.45,3.09,6.8,Engineering,0
F,White,0,1,0,1,2.66,964,3,2.61,3.54,6.0,Art,0
F,AAPI,1,2,1,0,2.98,1056,5,3.04,1.97,2.7,Biology,0
F,Hispanic,1,5,0,0,3.02,1393,7,3.43,4.46,5.8,Biology,1
F,AAPI,0,2,0,0,3.72,1290,1,3.28,1.0,5.2,Biology,0
M,AAPI,1,2,1,0,2.67,1122,2,2.48,4.04,0.1,CS,0
F,White,0,5,0,0,3.1,1166,3,4.02,2.53,6.7,Economics,0
F,White,0,2,1,0,2.6,1282,5,2.89,3.2,3.2,CS,0
F,Black,0,3,1,0,3.09,1402,5,2.96,4.16,6.4,Economics,0
F,White,1,2,1,0,3.09,892,2,3.06,3.35,2.1,Biology,0
F,White,0,2,1,0,3.66,1097,8,3.6,3.2,6.3,Art,1
M,Hispanic,0,3,1,0,3.32,1337,5,3.28,3.69,6.6,Economics,1
F,Other,0,4,0,0,3.29,1205,5,3.07,1.92,6.5,Art,0
M,AAPI,0,2,0,0,3.37,1037,3,3.01,1.84,6.4,CS,0
M,White,0,1,1,0,3.08,1111,5,3.83,3.02,5.9,Humanities,1
F,Hispanic,0,4,0,1,4.0,1247,5,4.18,2.94,6.2,Economics,0
F,White,1,3,1,0,3.12,982,8,3.52,2.75,5.8,CS,0
F,White,0,4,1,1,3.62,1233,2,3.64,4.09,5.1,CS,0
M,White,0,3,0,0,3.64,1201,1,4.69,3.92,4.3,Humanities,1
F,Hispanic,0,4,0,0,3.21,1126,3,3.68,2.36,10.8,Biology,1
M,Hispanic,0,4,1,0,3.54,1111,6,3.51,3.45,6.3,CS,0
M,AAPI,0,4,1,0,3.3,1145,4,3.28,1.85,6.8,Humanities,1
M,White,0,4,0,0,3.53,1059,7,3.61,1.83,6.6,Engineering,0
M,White,0,3,0,0,3.39,1269,3,1.47,2.29,6.9,Engineering,1
M,White,0,2,0,0,3.22,967,6,3.82,2.86,3.8,CS,0
F,Hispanic,0,3,1,0,3.0,1201,3,2.54,2.48,4.9,Biology,0
F,White,1,4,0,0,4.0,1108,7,2.97,3.46,8.8,Undeclared,1
F,White,0,3,1,0,3.61,1076,7,2.46,2.99,2.3,Art,1
M,Black,0,3,0,0,2.79,1342,3,2.86,3.89,6.5,Engineering,0
M,White,0,2,1,0,3.17,1112,5,3.0,3.34,3.1,Engineering,0
M,Hispanic,0,1,1,0,2.69,991,4,3.63,1.97,0.0,Art,0
F,White,0,3,0,0,3.62,1043,5,4.07,3.72,5.8,Humanities,1
M,Black,1,5,1,0,3.48,1277,8,4.66,2.51,4.4,Engineering,0
F,White,0,4,1,0,3.48,1336,7,3.46,3.43,3.5,Art,1
F,White,0,4,1,1,3.19,1398,6,3.42,2.71,13.3,Undeclared,1
M,White,0,4,1,0,3.37,1197,6,3.87,4.16,8.2,Engineering,0
F,White,0,5,1,0,3.84,1233,3,2.99,3.78,9.0,Art,1
F,AAPI,1,2,0,0,3.57,1088,3,2.62,2.35,4.8,Humanities,0
M,White,0,4,1,0,3.78,1243,3,3.18,2.79,3.8,Art,1
F,White,0,1,1,0,2.7,977,3,3.08,5.0,4.0,Biology,0
F,Black,0,2,1,0,3.25,1335,6,1.96,1.89,4.3,Biology,0
F,White,0,1,0,0,3.28,1063,3,3.74,2.22,0.0,Biology,0
F,AAPI,0,3,0,0,3.09,1225,0,3.44,2.46,10.5,Engineering,1
M,Black,0,1,0,0,2.61,1119,1,3.58,1.87,4.2,Economics,0
M,White,0,2,0,0,2.82,1162,5,2.26,2.06,3.1,Biology,0
F,Black,0,1,1,0,3.76,944,2,2.7,2.71,4.7,Engineering,0
F,White,0,1,1,0,2.82,1084,5,2.67,3.18,1.0,Art,0
F,White,0,3,0,0,3.37,1469,2,3.18,1.73,3.7,CS,1
M,White,0,3,0,1,3.3,1372,5,3.43,2.6,9.8,Art,1
M,Hispanic,1,3,0,0,3.23,1137,5,3.82,2.36,4.4,Economics,0
M,AAPI,0,2,0,0,3.16,1054,5,3.26,1.96,5.2,Biology,0
F,White,1,3,1,0,3.61,830,3,2.86,3.8,6.0,Art,0
F,Other,1,1,0,1,3.13,955,4,4.56,2.19,3.7,Biology,0
F,White,0,3,1,0,3.18,1164,7,3.14,1.9,4.7,Engineering,1
M,Hispanic,0,5,1,0,3.58,1221,1,2.96,3.9,13.3,CS,0
F,Black,1,1,1,0,2.72,1015,3,1.97,3.8,2.2,Humanities,0
M,Hispanic,0,1,1,0,3.41,1172,0,3.15,2.99,2.2,Art,1
M,Hispanic,0,4,1,0,3.24,1080,3,3.81,2.35,8.0,Economics,1
F,Other,0,3,1,0,3.18,1213,3,2.62,2.78,2.8,Engineering,0
F,White,0,2,0,0,3.45,1090,3,3.57,2.38,7.8,Undeclared,0
F,Black,1,4,1,0,3.27,1061,6,3.45,3.06,6.0,Economics,0
F,Black,1,2,0,0,3.08,1304,5,2.14,3.47,5.2,Economics,0
F,AAPI,1,4,1,0,3.82,1290,5,3.78,3.08,7.2,Humanities,1
M,White,1,3,1,0,2.99,1030,6,3.14,3.0,4.9,Engineering,0
F,Other,0,1,1,0,3.41,1157,1,2.42,2.39,6.7,Humanities,1
F,White,0,4,0,0,3.76,1000,7,3.97,3.63,8.4,Biology,0
M,White,1,4,0,0,3.77,1067,0,3.96,3.39,7.8,Engineering,0
M,White,1,2,0,0,3.96,1256,6,2.51,1.43,1.1,Engineering,1
F,White,1,4,1,0,3.19,1234,8,3.58,1.67,5.6,Art,1
M,Black,1,4,1,0,3.11,1223,6,3.52,2.83,6.2,Humanities,1
M,White,0,5,1,0,3.85,1403,10,3.46,3.98,11.9,Engineering,0
M,Black,0,5,1,0,3.89,1351,2,3.19,4.13,4.1,CS,0
M,Hispanic,1,2,0,0,2.92,1033,5,3.11,3.51,3.3,CS,0
F,White,0,5,1,0,3.73,1396,6,4.06,3.08,10.3,Engineering,1
M,Black,0,1,1,1,4.0,849,4,3.5,3.97,2.1,Economics,1
F,White,0,2,1,0,3.36,1037,1,2.04,2.32,3.6,Humanities,0
M,Hispanic,0,4,1,0,3.8,1206,6,2.11,2.83,11.0,CS,0
M,Hispanic,0,3,1,0,3.95,1252,5,2.19,1.86,6.9,Biology,1
F,White,0,2,0,0,4.0,1060,2,2.39,2.62,7.3,Economics,1
F,Black,0,1,1,0,3.33,835,3,2.65,2.11,6.2,Engineering,0
M,White,0,4,1,0,3.92,951,2,3.13,4.33,7.1,Humanities,1
M,White,0,5,1,0,3.28,1255,5,3.46,4.27,7.8,Economics,0
F,Black,0,4,0,0,3.44,1128,7,3.38,3.15,9.0,Humanities,0
M,White,1,3,1,0,3.17,1013,6,3.27,3.37,3.6,Humanities,0
M,AAPI,0,4,1,0,2.82,1069,6,4.09,2.62,11.1,Art,0
F,White,0,2,0,0,2.71,1124,5,2.19,1.0,3.9,Humanities,1
F,White,0,5,1,0,3.71,1447,7,3.7,2.59,10.2,Humanities,1
F,Hispanic,0,1,1,0,3.4,1104,2,3.3,3.4,5.7,Biology,0
M,White,1,3,1,0,2.97,1324,5,2.54,3.35,4.3,Engineering,0
F,AAPI,0,2,0,1,3.82,1053,6,3.67,2.59,6.4,CS,1
M,White,0,5,1,0,3.17,1327,3,3.72,3.79,7.9,Biology,1
F,Hispanic,1,2,1,0,3.34,1284,1,3.17,2.52,0.5,Humanities,0
M,AAPI,0,4,1,0,3.33,1198,2,1.95,2.19,6.6,Economics,1
F,White,1,1,1,0,3.21,1054,0,3.68,3.39,1.0,CS,1
F,White,1,1,1,0,3.48,998,1,3.24,2.31,5.4,Engineering,0
M,White,0,3,1,0,3.67,1258,3,3.54,3.82,5.6,Biology,1
F,Hispanic,1,4,1,0,3.66,1311,8,1.37,1.5,8.7,Biology,1
M,White,0,2,1,0,3.52,1179,3,2.88,2.44,3.5,Humanities,0
M,White,0,4,1,0,3.03,1188,2,2.54,3.58,3.6,CS,0
M,Black,0,3,0,0,3.75,940,4,4.08,3.4,3.3,Biology,1
M,White,0,5,1,0,3.19,1258,5,2.84,3.02,12.7,Economics,0
F,White,0,2,0,0,3.23,1078,2,4.09,3.13,12.8,Undeclared,0
M,White,0,2,1,0,3.2,1163,3,3.77,3.01,10.2,Undeclared,0
M,White,0,5,0,0,3.63,1256,7,3.63,2.01,3.7,Biology,0
F,Black,0,2,1,0,3.15,1350,1,3.88,2.61,1.8,Engineering,0
F,Hispanic,0,2,1,0,3.26,1033,0,2.63,3.08,2.5,Undeclared,1
M,Hispanic,0,5,1,0,4.0,1044,6,3.04,3.6,9.5,Art,1
F,Hispanic,0,5,1,0,3.11,1105,4,4.05,3.15,12.9,Humanities,0
M,White,0,1,0,0,3.19,971,6,2.54,2.36,6.7,Economics,1
M,White,1,5,0,0,3.05,1356,5,2.7,2.13,7.8,Humanities,1
M,AAPI,0,4,1,0,3.72,1038,5,3.21,3.7,4.5,Humanities,1
F,Hispanic,1,2,1,0,3.0,932,5,2.67,3.41,4.2,Art,1
F,Black,0,3,1,0,3.41,1233,1,4.42,3.79,6.2,Humanities,1
F,White,0,2,1,0,2.86,1249,4,3.67,2.04,7.4,Humanities,1
F,Black,1,1,0,0,3.57,808,2,2.75,2.9,2.9,Undeclared,0
M,Black,0,1,0,0,3.22,812,5,2.5,2.25,5.4,Undeclared,1
M,Hispanic,0,1,1,0,3.29,975,2,3.3,2.84,5.1,Biology,0
F,Black,0,3,1,0,3.69,1267,5,4.01,5.0,6.3,Undeclared,0
F,White,0,5,1,0,3.12,1285,5,3.67,3.92,6.6,Biology,0
M,White,0,3,1,0,3.18,1070,5,2.73,2.4,6.3,Engineering,0
F,White,0,1,1,0,3.3,1189,3,2.24,2.6,4.2,Engineering,0
M,White,0,3,1,0,2.78,1192,5,3.07,2.71,4.0,CS,0
F,Hispanic,1,4,1,0,2.83,1170,8,3.59,3.2,8.7,Biology,1
M,White,0,5,0,0,3.22,1014,5,3.22,1.98,11.5,Undeclared,0
F,White,0,4,1,1,3.08,1112,6,4.15,3.36,7.2,Engineering,0
M,White,1,2,1,0,3.13,1369,8,3.52,1.21,4.8,Undeclared,1
F,AAPI,0,4,0,0,3.61,1148,5,3.54,1.76,8.7,CS,0
M,White,1,1,1,0,3.43,916,0,3.4,4.4,4.6,CS,0
F,White,0,3,1,0,4.0,1121,3,2.47,2.71,8.9,CS,0
F,Hispanic,0,3,1,1,3.39,1192,2,3.15,4.14,6.3,Economics,1
M,White,1,1,0,0,3.17,1149,5,2.48,2.15,5.6,Undeclared,0
F,White,0,1,0,0,3.18,1147,3,3.33,1.12,8.7,Engineering,0
F,White,1,5,1,0,3.6,1135,8,2.88,2.36,10.5,Engineering,0
F,AAPI,0,2,0,0,3.41,1283,5,3.25,5.0,4.8,Art,1
F,Black,1,1,0,0,3.44,1139,4,3.0,1.67,6.8,Economics,0
F,Hispanic,0,3,1,0,3.72,1113,2,3.66,4.42,3.3,Engineering,0
M,White,0,2,0,0,3.45,1087,4,2.48,3.18,4.7,Biology,1
F,Other,0,5,1,1,4.0,1349,8,3.92,3.3,9.7,Humanities,1
M,Black,1,5,1,0,3.5,1380,3,2.86,2.6,11.1,Biology,1
M,White,0,5,0,0,3.3,1027,5,2.92,2.48,5.7,Humanities,1
F,White,0,2,1,0,3.16,1140,4,3.11,3.35,5.1,Humanities,1
M,White,1,5,0,0,3.4,1201,5,4.22,4.26,7.3,CS,0
M,Hispanic,0,2,0,0,2.89,1025,6,2.7,3.06,5.0,Humanities,1
M,White,0,2,1,0,3.11,1049,5,2.13,3.49,2.2,Undeclared,1
F,White,0,5,1,1,3.16,1413,6,3.08,2.86,8.9,CS,0
F,Black,0,4,0,0,3.55,1270,6,3.17,4.84,3.6,CS,0
F,Hispanic,0,1,1,0,3.36,1380,5,4.22,2.99,7.2,Economics,1
M,AAPI,0,5,1,0,2.94,1185,6,3.73,4.83,11.0,Humanities,0
M,Black,0,1,1,0,3.01,1104,2,2.65,2.03,2.8,Biology,1
M,White,0,4,0,0,4.0,1238,7,3.32,3.06,3.6,Undeclared,1
F,Hispanic,0,3,1,0,3.62,1300,3,4.24,3.86,5.9,CS,0
M,White,0,1,1,0,3.4,1275,3,2.96,2.91,3.1,CS,0
F,White,1,4,0,0,3.13,1173,2,3.26,3.51,6.0,CS,0
M,Other,0,4,1,0,3.58,1067,6,3.16,2.32,7.0,Humanities,1
F,White,0,5,1,0,3.55,1165,8,3.92,2.88,5.3,CS,0
M,White,0,4,0,0,3.15,1215,3,3.08,2.4,10.9,Economics,0
M,AAPI,0,4,1,0,3.31,1377,5,3.92,3.03,5.2,Undeclared,0
F,White,1,5,1,0,3.33,1028,5,4.14,3.05,9.6,CS,0
F,White,0,5,0,0,2.99,1076,7,3.87,2.78,5.4,CS,0
M,AAPI,1,3,1,0,2.87,1246,7,3.17,3.51,5.9,Art,1
F,Black,1,1,1,0,3.1,869,2,2.26,1.95,5.2,Engineering,0
M,Black,1,2,1,1,2.95,937,0,3.22,1.18,5.2,Biology,0
M,White,1,4,1,1,3.3,1344,7,3.15,2.64,5.9,Economics,0
M,AAPI,0,1,1,0,2.68,1054,3,2.63,4.52,3.2,Humanities,0
F,Hispanic,1,1,1,0,3.45,1008,3,2.96,3.21,3.1,Engineering,1
F,White,1,2,1,0,3.98,1287,6,3.49,2.22,3.2,Art,1
F,White,0,5,0,0,3.87,1091,4,3.13,3.56,8.4,Humanities,1
M,White,0,2,0,0,3.67,928,2,2.38,2.79,9.8,CS,0
F,White,0,5,1,0,3.78,1493,5,2.92,3.51,8.5,CS,1
F,White,0,5,1,1,3.65,1298,6,4.66,3.9,9.1,Humanities,1
F,Black,0,2,1,0,3.35,1225,5,3.53,3.05,7.9,Biology,1
M,Other,1,2,0,0,2.88,1026,7,2.63,3.0,3.8,Biology,0
F,White,0,5,0,0,3.75,1225,6,4.27,4.39,3.1,Engineering,1
M,AAPI,0,4,0,0,3.65,1096,4,3.26,3.53,6.8,Humanities,1
M,White,0,4,1,0,3.32,1265,7,4.77,3.26,8.9,CS,0
M,White,0,5,0,1,3.69,1356,3,3.81,3.23,12.6,Biology,1
M,Black,0,1,0,1,2.95,1087,6,3.59,2.35,1.9,Humanities,0
M,White,1,2,1,0,3.03,1244,4,3.7,1.9,7.6,Undeclared,0
M,Hispanic,0,4,1,0,3.75,1313,4,4.29,3.64,7.5,Engineering,1
F,White,1,1,1,0,3.32,903,1,2.84,3.82,3.1,Economics,1
M,White,1,5,0,1,3.36,1185,6,4.49,3.54,4.7,CS,0
M,White,1,3,1,0,3.21,1077,4,2.93,3.45,4.2,Engineering,0
M,White,0,2,1,0,3.38,1235,4,2.98,2.19,6.6,CS,0
M,Hispanic,1,2,0,0,2.56,1135,0,3.21,2.42,8.0,Art,0
M,Black,1,1,1,0,2.9,1068,2,3.65,1.77,0.0,Biology,0
